+--------------------+------------------------------------+---------------------------------+----------------------------+
|         id         |           property_type            |            host_name            | COUNT(availabilities.date) |
+--------------------+------------------------------------+---------------------------------+----------------------------+
| 3781               | Entire rental unit                 | Frank                           | 9                          |
| 5506               | Entire guest suite                 | Terry                           | 9                          |
| 6695               | Entire condo                       | Terry                           | 9                          |
| 8789               | Entire rental unit                 | Anne                            | 9                          |
| 10813              | Entire rental unit                 | Michelle                        | 9                          |
| 10986              | Entire condo                       | Michelle                        | 9                          |
| 18711              | Entire rental unit                 | Lance                           | 9                          |
| 29765              | Entire rental unit                 | Elizabeth                       | 9                          |
| 40601              | Private room in home               | Robert                          | 9                          |
| 45987              | Entire rental unit                 | Atef                            | 9                          |
| 47521              | Private room in home               | Hermina                         | 9                          |
| 60029              | Private room in rental unit        | Michelle                        | 9                          |
| 67774              | Entire condo                       | Anne                            | 9                          |
| 69369              | Entire rental unit                 | Michelle                        | 9                          |
| 77681              | Private room in rental unit        | Christiane                      | 9                          |
| 77691              | Private room in home               | Hermina                         | 9                          |
| 163941             | Entire condo                       | Terry                           | 9                          |
| 184893             | Private room in bed and breakfast  | Dawn                            | 9                          |
| 190170             | Entire guest suite                 | Fanny & Candice                 | 9                          |
| 197727             | Private room in condo              | Jill                            | 9                          |
| 197972             | Entire rental unit                 | Chris & Kristina                | 9                          |
| 210097             | Entire home                        | Maria Elena                     | 9                          |
| 220676             | Private room in townhouse          | Howard                          | 9                          |
| 257588             | Entire rental unit                 | Meri                            | 9                          |
| 297994             | Entire home                        | Albert                          | 9                          |
| 377474             | Private room in home               | Hermina                         | 10                         |
| 447826             | Private room in home               | Hilary                          | 9                          |
| 496022             | Private room in home               | Maria                           | 9                          |
| 507525             | Entire rental unit                 | Guy                             | 9                          |
| 530983             | Entire home                        | Lance                           | 9                          |
| 533152             | Entire rental unit                 | Lance                           | 9                          |
| 561769             | Entire rental unit                 | Lance                           | 9                          |
| 579605             | Entire rental unit                 | Lance                           | 9                          |
| 583255             | Entire rental unit                 | Valery                          | 9                          |
| 601763             | Entire rental unit                 | Lance                           | 9                          |
| 611081             | Boat                               | Deborah                         | 9                          |
| 619142             | Entire home                        | Joe                             | 9                          |
| 646087             | Private room in townhouse          | Ingrid                          | 9                          |
| 708802             | Entire rental unit                 | Gerard  And Marie               | 9                          |
| 743211             | Entire home                        | Margaret                        | 9                          |
| 750438             | Private room in rental unit        | Lisa                            | 9                          |
| 753446             | Private room in condo              | Sami                            | 9                          |
| 766700             | Entire condo                       | Jason                           | 9                          |
| 789843             | Entire rental unit                 | Ally                            | 9                          |
| 801680             | Entire condo                       | Terry                           | 9                          |
| 815639             | Entire condo                       | Jason                           | 9                          |
| 820073             | Entire loft                        | Kelly & Chris                   | 9                          |
| 849408             | Entire rental unit                 | Damon                           | 10                         |
| 863788             | Entire condo                       | Andy & Daljit                   | 9                          |
| 891661             | Entire rental unit                 | Paolo                           | 9                          |
